"Id","Full_name_without_family_and_authors","Authors","Publication","Collation","Publication_year_full","issn","doi","biostor","bhl","jstor","cinii","url","pdf","handle"
"1001300-1","Haloragis microphylla","Hoogland","Blumea, Suppl.","4: 228; in I.K., Supp 13 as Haumania microphylla in error","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526391","",""
"1014142-1","Baccaurea carinata","Haegens","Blumea, Suppl.","12: 103","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","",""
"1014143-1","Baccaurea microcarpa","(Airy Shaw) Haegens","Blumea, Suppl.","12: 127","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014144-1","Baccaurea mollis","Haegens","Blumea, Suppl.","12: 131","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014145-1","Baccaurea purpurea","Haegens","Blumea, Suppl.","12: 164","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014146-1","Baccaurea simaloerensis","Haegens","Blumea, Suppl.","12: 179","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014147-1","Distichirhops","Haegens","Blumea, Suppl.","12: 193","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014148-1","Distichirhops megale","Haegens","Blumea, Suppl.","12: 194","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014149-1","Distichirhops minor","Haegens","Blumea, Suppl.","12: 195","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014150-1","Distichirhops mitsemosik","Haegens","Blumea, Suppl.","12: 196","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014151-1","Nothobaccaurea","Haegens","Blumea, Suppl.","12: 198","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014152-1","Nothobaccaurea pulvinata","(A.C.Sm.) Haegens","Blumea, Suppl.","12: 199","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"1014153-1","Nothobaccaurea stylaris","(Müll.Arg.) Haegens","Blumea, Suppl.","12: 201","2000","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526368","http://www.repository.naturalis.nl/document/566788",""
"159982-1","Bhesa archboldiana","(Merr. & L.M.Perry) Ding Hou","Blumea, Suppl.","4: 152","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526349","http://www.repository.naturalis.nl/document/566769",""
"159983-1","Bhesa ceylanica","(Arn. ex Thwaites) Ding Hou","Blumea, Suppl.","4: 151","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526349","http://www.repository.naturalis.nl/document/566769",""
"159984-1","Bhesa indica","(Bedd.) Ding Hou","Blumea, Suppl.","4: 152","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526349","http://www.repository.naturalis.nl/document/566769",""
"159988-1","Bhesa robusta","(Roxb.) Ding Hou","Blumea, Suppl.","4: 152","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526349","http://www.repository.naturalis.nl/document/566769",""
"17457-1","Ancistragrostis","S.T.Blake","Blumea, Suppl.","3: 56","1946","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526355","http://www.repository.naturalis.nl/document/566775",""
"18186-1","Henrardia","C.E.Hubb.","Blumea, Suppl.","3: 15","1946","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526300","http://www.repository.naturalis.nl/document/566720",""
"18670-1","Parapholis","C.E.Hubb.","Blumea, Suppl.","3: 14","1946","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526300","http://www.repository.naturalis.nl/document/566720",""
"187103-2","Pennisetum sagittatum","Henrard","Blumea, Suppl.","1: 229, pl. 16","1937","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526379","http://www.repository.naturalis.nl/document/566799",""
"246040-2","Stipa henrardiana","Parodi","Blumea, Suppl.","3: 68 (fig.)","1946","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526337","http://www.repository.naturalis.nl/document/566757",""
"258156-1","Vernonia coronata","J.Kost.","Blumea, Suppl.","4: 177","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526388","http://www.repository.naturalis.nl/document/566808",""
"258647-1","Vernonia lamii","J.Kost.","Blumea, Suppl.","4: 174","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526388","http://www.repository.naturalis.nl/document/566808",""
"258761-1","Vernonia luxuriosa","J.Kost.","Blumea, Suppl.","4: 175","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526388","http://www.repository.naturalis.nl/document/566808",""
"259469-1","Vernonia subdentata","J.Kost.","Blumea, Suppl.","4: 171","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526388","http://www.repository.naturalis.nl/document/566808",""
"264393-1","Connarus lamii","Leenh.","Blumea, Suppl.","4: 106","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526380","http://www.repository.naturalis.nl/document/566800",""
"265204-1","Argyreia lamii","Ooststr.","Blumea, Suppl.","4: 239","1958","0373-4293","","","","","","http://www.repository.naturalis.nl/record/526371","http://www.repository.naturalis.nl/document/566791",""
