Id	Full_name_without_family_and_authors	Authors	Publication	Collation	Publication_year_full	issn	doi	biostor	bhl	jstor	cinii	url	pdf	handle
1015069-2	Andropogon sanguineus var. brevipedicellatus	(Beal) Y.Herrera	Bol. Soc. Bot. México	48: 22	1989	0366-2128						http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1342	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1342/993	
103911-2	Festuca lugens	(E.Fourn.) Hitchc. ex Hern.-Xol.	Bol. Soc. Bot. México	no. 23: 165	1958	0366-2128								
105431-2	Fouquieria leonilae	Miranda	Bol. Soc. Bot. México	no. 26: 127	1961	0366-2128	10.17129/botsci.1070					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1070	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1070/761	
105645-2	Frankenia margaritae	Medrano	Bol. Soc. Bot. México	no. 32: 71, fig	1973	0366-2128	10.17129/botsci.1117					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1117	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1117/pdf	
107181-2	Galium rzedowskii	Dempster	Bol. Soc. Bot. México	no. 35: 13 (-14), fig	1975	0366-2128								
108428-2	Gentiana mirandae	Paray	Bol. Soc. Bot. México	no. 21: 15, fig	1957	0366-2128	10.17129/botsci.1035					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1035	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1035/726	
109398-1	Cybistax millsii	Miranda	Bol. Soc. Bot. México	No. 26, 129 (1961)		0366-2128	10.17129/botsci.1070					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1070	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1070/761	
1103403-2	Furcraea parmentieri	(Roezl) García-Mend.	Bol. Soc. Bot. México	66: 115	2000 [2002?]	0366-2128	10.17129/botsci.1617					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1617	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1617/1267	
110561-1	Roseodendron chryseum	(Blake) Miranda	Bol. Soc. Bot. México	No. 29. 43 (1965)		0366-2128	10.17129/botsci.1087					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1087	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1087/779	
110562-1	Roseodendron donnell-smithii	(Rose) Miranda	Bol. Soc. Bot. México	No. 29. 43 (1965)		0366-2128	10.17129/botsci.1087					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1087	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1087/779	
110563-1	Roseodendron millsii	(Miranda) Miranda	Bol. Soc. Bot. México	No. 29. 43 (1965)		0366-2128	10.17129/botsci.1087					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1087	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1087/779	
111213-2	Gnaphalium nubicola var. panniforme	(S.F.Blake) F.J.Espinosa	Bol. Soc. Bot. México	no. 45: 20	1984 (1983)	0366-2128	10.17129/botsci.1295					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1295	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1295/948	
111222-2	Gnaphalium oxyphyllum var. nataliae	F.J.Espinosa	Bol. Soc. Bot. México	no. 45: 17	1984 (1983)	0366-2128	10.17129/botsci.1295					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1295	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1295/948	
111281-2	Gnaphalium sartorii	(Klatt) F.J.Espinosa	Bol. Soc. Bot. México	no. 45: 21	1984 (1983)	0366-2128	10.17129/botsci.1295					http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/view/1295	http://www.botanicalsciences.com.mx/index.php/botanicalSciences/article/download/1295/948	
