1002291-1	1.1.2.1.1.1	Hyacinthaceae		N	Ledebouria		N	atrobrunnea		spec.	S.Venter		S.Venter	Ledebouria atrobrunnea	Bothalia	28(1): 15 (1998)	1998						Transvaal.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002292-1	1.1.2.1.1.1	Hyacinthaceae		N	Ledebouria		N	dolomiticola		spec.	S.Venter		S.Venter	Ledebouria dolomiticola	Bothalia	28(1): 16 (1998)	1998						Transvaal.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002293-1	1.1.2.1.1.2	Cyperaceae		N	Isolepis		N	leucoloma		spec.	(Nees) C.Archer	(Nees)	C.Archer	Isolepis leucoloma	Bothalia	28(1): 42 (1998):	1998			Cyperaceae Cyperus leucoloma Nees				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002294-1	1.1.2.1.1.2	Thymelaeaceae		N	Lachnaea		N	sociorum		spec.	Beyers		Beyers	Lachnaea sociorum	Bothalia	28(1): 49 (1998)	1998						Cape Province.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002295-1	1.1.2.1.1.2	Leguminosae		N	Pearsonia		N	hirsuta		spec.	Germish.		Germish.	Pearsonia hirsuta	Bothalia	28(1): 57 (1998)	1998						Transvaal.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002296-1	1.1.2.1.1.2	Leguminosae		N	Rhynchosia		N	atropurpurea		spec.	Germish.		Germish.	Rhynchosia atropurpurea	Bothalia	28(1): 58 (1998)	1998						Transvaal.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002297-1	1.1.2.1.1.1	Aloaceae		N	Astroloba		N	corrugata		spec.	N.L.Mey. & Gideon F.Sm.		N.L.Mey. & Gideon F.Sm.	Astroloba corrugata	Bothalia	28(1): 61 (1998)	1998						Cape Province.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002298-1	1.2.2.1.1.1	Hyacinthaceae		N	Ornithogalum		N	decus-montium		spec.	G.Will.		G.Will.	Ornithogalum decus-montium	Bothalia	28(1): 63 (1998)	1998						Cape Province.	tax. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002299-1	1.1.2.1.1.2	Aizoaceae		N	Antimima		N	addita		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima addita	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia addita				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002300-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	amoena		spec.	(Schwantes) H.E.K.Hartmann	(Schwantes)	H.E.K.Hartmann	Antimima amoena	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia amoena				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002301-1	1.1.2.2.1.3	Aizoaceae		N	Antimima		N	androsacea		spec.	(Marloth & Schwantes) H.E.K.Hartmann	(Marloth & Schwantes)	H.E.K.Hartmann	Antimima androsacea	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia androsacea				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002302-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	argentea		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima argentea	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia argentea L.Bolus				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002303-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	biformis		spec.	(N.E.Br.) H.E.K.Hartmann	(N.E.Br.)	H.E.K.Hartmann	Antimima biformis	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Mesembryanthemum biforme				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002304-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	bina		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima bina	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia bina				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002305-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	bracteata		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima bracteata	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia bracteata				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002306-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	brevicarpa		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima brevicarpa	Bothalia	28(1): 70 (1998):	1998			Aizoaceae Ruschia brevicarpa				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002307-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	brevicollis		spec.	(N.E.Br.) H.E.K.Hartmann	(N.E.Br.)	H.E.K.Hartmann	Antimima brevicollis	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Mesembryanthemum brevicolle				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002308-1	1.1.2.3.1.1	Aizoaceae		N	Antimima		N	buchubergensis		spec.	(Dinter) H.E.K.Hartmann	(Dinter)	H.E.K.Hartmann	Antimima buchubergensis	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia buchubergensis				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002309-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	compacta		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima compacta	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia compacta				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002310-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	compressa		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima compressa	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia compressa L.Bolus				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002311-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	concinna		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima concinna	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia concinna				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002312-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	condensa		spec.	(N.E.Br.) H.E.K.Hartmann	(N.E.Br.)	H.E.K.Hartmann	Antimima condensa	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Mesembryanthemum condensum				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002313-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	crassifolia		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima crassifolia	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia crassifolia L.Bolus				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002314-1	1.1.2.2.1.1	Aizoaceae		N	Antimima		N	dasyphylla		spec.	(Schltr.) H.E.K.Hartmann	(Schltr.)	H.E.K.Hartmann	Antimima dasyphylla	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Mesembryanthemum dasyphyllum				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002315-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	defecta		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima defecta	Bothalia	28(1): 71 (1998):	1998			Aizoaceae Ruschia defecta L.Bolus				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002316-1	1.1.2.2.1.3	Aizoaceae		N	Antimima		N	dekenahii		spec.	(N.E.Br.) H.E.K.Hartmann	(N.E.Br.)	H.E.K.Hartmann	Antimima dekenahii	Bothalia	28(1): 72 (1998):	1998			Aizoaceae Mesembryanthemum dekenahii				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
1002317-1	1.1.2.2.1.2	Aizoaceae		N	Antimima		N	distans		spec.	(L.Bolus) H.E.K.Hartmann	(L.Bolus)	H.E.K.Hartmann	Antimima distans	Bothalia	28(1): 72 (1998):	1998			Aizoaceae Mesembryanthemum distans				comb. nov.	0006-8241	\N	\N	\N	\N	\N	\N	\N	\N
