Id	Full_name_without_family_and_authors	Authors	Publication	Collation	Publication_year_full	issn	doi	biostor	bhl	jstor	cinii	url	pdf	handle
1002338-2	Echinopsis yuquina	D.R.Hunt	Bradleya	9: 88	1991	0265-086X	10.25223/brad.n9.1991.a2							
1004342-2	Lepismium bolivianum	(Britton) Barthlott	Bradleya	9: 89	1991	0265-086X	10.25223/brad.n9.1991.a2							
1004536-1	Karimbolea mariensis	Meve & Liede	Bradleya	16: 10 (1998)	1998	0265-086X	10.25223/brad.n16.1998.a2							
1004537-1	Amphibolia hutchinsonii	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 46 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004538-1	Amphibolia obscura	H.E.K.Hartmann	Bradleya	16: 47 (1998)	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004539-1	Amphibolia saginata	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 48 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004540-1	Amphibolia succulenta	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 48 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004541-1	Cerochlamys gemina	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 53 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004542-1	Cerochlamys purpureostyla	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 56	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004543-1	Eberlanzia dichotoma	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 60 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004544-1	Eberlanzia ebracteata	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 60 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004545-1	Eberlanzia gravida	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 61 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004546-1	Eberlanzia parvibracteata	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 61 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004547-1	Eberlanzia schneideriana	(A.Berger) H.E.K.Hartmann	Bradleya	16: 61 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004548-1	Erepsia aristata	(L.Bolus) Liede & H.E.K.Hartmann	Bradleya	16: 64 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004549-1	Esterhuysenia drepanophylla	(Schltr. & A.Berger) H.E.K.Hartmann	Bradleya	16: 65 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004550-1	Esterhuysenia inclaudens	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 66 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004551-1	Esterhuysenia stokoei	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 66 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004552-1	Lampranthus amphibolius	(G.D.Rowley) H.E.K.Hartmann	Bradleya	16: 67 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004553-1	Lampranthus arenarius	H.E.K.Hartmann	Bradleya	16: 67 (1998), nom. nov.	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004554-1	Lampranthus curviflorus	(Haw.) H.E.K.Hartmann	Bradleya	16: 67 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004555-1	Lampranthus dissimilis	(G.D.Rowley) H.E.K.Hartmann	Bradleya	16: 67 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004556-1	Lampranthus francesiae	H.E.K.Hartmann	Bradleya	16: 68 (1998), nom. nov.	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004557-1	Lampranthus marginatus	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 68 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004558-1	Lampranthus mutatus	(G.D.Rowley) H.E.K.Hartmann	Bradleya	16: 68 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004559-1	Lampranthus pakpassensis	H.E.K.Hartmann	Bradleya	16: 70 (1998), nom. nov.	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004560-1	Lampranthus profundus	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 70 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004561-1	Lampranthus tanquanus	H.E.K.Hartmann	Bradleya	16: 70 (1998), nom. nov.	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004562-1	Octopoma quadrisepalum	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 73 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004563-1	Octopoma tetrasepalum	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 74 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004564-1	Oscularia alba	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 75 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004565-1	Oscularia cedarbergensis	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 76 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004566-1	Oscularia compressa	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 76 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004567-1	Oscularia comptonii	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 76 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004568-1	Oscularia copiosa	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 76 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004569-1	Oscularia excedens	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 77 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004570-1	Oscularia falciformis	(Haw.) H.E.K.Hartmann	Bradleya	16: 77 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004571-1	Oscularia guthrieae	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 77 (1998), as 'guthriae':	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004572-1	Oscularia lunata	(Willd.) H.E.K.Hartmann	Bradleya	16: 77 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004573-1	Oscularia ornata	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 78 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004574-1	Oscularia paardebergensis	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 78 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004575-1	Oscularia piquetbergensis	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 78 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004576-1	Oscularia prasina	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 78 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004577-1	Oscularia primiverna	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 79 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004578-1	Oscularia steenbergensis	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 79 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
1004579-1	Oscularia superans	(L.Bolus) H.E.K.Hartmann	Bradleya	16: 79 (1998):	1998	0265-086X	10.25223/brad.n16.1998.a6							
