Id	Full_name_without_family_and_authors	Authors	Publication	Collation	Publication_year_full	issn	doi	biostor	bhl	jstor	cinii	url	pdf	handle
1000883-1	Gasteria glauca	van Jaarsv.	Cact. Succ. J. (Los Angeles)	70(2): 65	1998	0007-9367								
1000884-1	Gasteria carinata var. thunbergii	(N.E.Br.) van Jaarsv.	Cact. Succ. J. (Los Angeles)	70(2): 70	1998	0007-9367								
1000885-1	Gasteria carinata var. glabra	(Salm-Dyck) van Jaarsv.	Cact. Succ. J. (Los Angeles)	70(2): 70	1998	0007-9367								
1000886-1	Kalanchoe ndotoensis	L.E.Newton	Cact. Succ. J. (Los Angeles)	70(2): 85	1998	0007-9367								
1000887-1	Mammillaria crinita subsp. scheinvariana	(R.Ortega V. & Glass) W.A.Fitz Maur. & B.Fitz Maur.	Cact. Succ. J. (Los Angeles)	70(2): 94	1998	0007-9367								
1000940-1	Aloe pembana	L.E.Newton	Cact. Succ. J. (Los Angeles)	70(1): 27	1998	0007-9367								
1001053-1	Pachyphytum caesium	Kimnach & Moran	Cact. Succ. J. (Los Angeles)	70(1): 41	1998	0007-9367								
1002160-1	Tylecodon bleckiae	G.Will.	Cact. Succ. J. (Los Angeles)	70(3): 127	1998	0007-9367								
1002161-1	Aloe ballii var. makurupiniensis	Ellert	Cact. Succ. J. (Los Angeles)	70(3): 130	1998	0007-9367								
1003052-1	Opuntia polyacantha var. arenaria	(Engelm.) B.D.Parfitt	Cact. Succ. J. (Los Angeles)	70(4): 188	1998	0007-9367								
1003053-1	Villadia cucullata subsp. apiculata	Moran & C.H.Uhl	Cact. Succ. J. (Los Angeles)	70(4): 202	1998	0007-9367								
1003054-1	Haworthia magnifica var. splendens	J.D.Venter & S.A.Hammer	Cact. Succ. J. (Los Angeles)	70(4): 180	1998	0007-9367								
1003055-1	Opuntia polyacantha var. erinacea	(Engelm. & J.M.Bigelow) B.D.Parfitt	Cact. Succ. J. (Los Angeles)	70(4): 188	1998	0007-9367								
1003056-1	Opuntia polyacantha var. hystricina	(Engelm. & J.M.Bigelow) B.D.Parfitt	Cact. Succ. J. (Los Angeles)	70(4): 188	1998	0007-9367								
1003057-1	Opuntia polyacantha var. nicholii	(L.D.Benson) B.D.Parfitt	Cact. Succ. J. (Los Angeles)	70(4): 188	1998	0007-9367								
1003058-1	Hammeria	Burgoyne	Cact. Succ. J. (Los Angeles)	70(4): 204	1998	0007-9367								
1003059-1	Hammeria salteri	(L.Bolus) Burgoyne	Cact. Succ. J. (Los Angeles)	70(4): 206	1998	0007-9367								
1003060-1	Hammeria gracilis	Burgoyne	Cact. Succ. J. (Los Angeles)	70(4): 207	1998	0007-9367								
1003423-2	Echinocactus subgen. Homalocephala		Cact. Succ. J. (Los Angeles)	64: 169	1992	0007-9367								
1004046-1	Tylecodon cordiformis	G.Will.	Cact. Succ. J. (Los Angeles)	70(5): 255	1998	0007-9367								
1004944-1	Echinocereus mapimiensis	E.F.Anderson, W.C.Hodgs. & P.Quirk	Cact. Succ. J. (Los Angeles)	70(6): 285	1998	0007-9367								
1004945-1	Yucca capensis	L.W.Lenz	Cact. Succ. J. (Los Angeles)	70(6): 289	1998	0007-9367								
1006585-1	Euphorbia suppressa	J.G.Marx	Cact. Succ. J. (Los Angeles)	71(1): 33	1999	0007-9367								
1006586-1	Euphorbia gamkensis	J.G.Marx	Cact. Succ. J. (Los Angeles)	71(1): 38	1999	0007-9367								
1007230-1	Pilosocereus estevesii	P.J.Braun	Cact. Succ. J. (Los Angeles)	71(2): 74	1999	0007-9367								
100734-1	Pseudolithos caput-viperae	Lavranos	Cact. Succ. J. (Los Angeles)	46(3): 126	1974	0007-9367								
100736-1	Pseudolithos horwoodii	P.R.O.Bally & Lavranos	Cact. Succ. J. (Los Angeles)	46(5): 220	1974	0007-9367								
100742-1	Pseudopectinaria malum	Lavranos	Cact. Succ. J. (Los Angeles)	43(1): 10	1971	0007-9367								
100846-1	Rhytidocaulon macrolobum	Lavranos	Cact. Succ. J. (Los Angeles)	39: 3	1967	0007-9367								
100848-1	Rhytidocaulon piliferum	Lavranos	Cact. Succ. J. (Los Angeles)	43(2): 62	1971	0007-9367								
1008550-1	Euphorbia seibanica	Lavranos & Al-Gifri	Cact. Succ. J. (Los Angeles)	71(3): 136	1999	0007-9367								
1008551-1	Ceropegia konasita	Masinde	Cact. Succ. J. (Los Angeles)	71(3): 146	1999	0007-9367								
