1000299-2	1.3	Grammitidaceae		N	Terpsichore		N	semihirsuta		spec.	(Klotzsch) A.R.Sm.	(Klotzsch)	A.R.Sm.	Terpsichore semihirsuta	Novon	3: 488	1993		[Gandhi 17 Mar 1998]			Polypodiaceae Polypodium semihirsutum Klotzsch		unknown	1055-3177	10.2307/3391398	64671	\N	\N	\N	\N	\N	\N
1000981-2	1.3	Asclepiadaceae		N	Metastelma		N	nubicola		spec.	(Morillo) Liede	(Morillo)	Liede	Metastelma nubicola	Novon	7: 43	1997					Asclepiadaceae Cynanchum nubicola Morillo		unknown	1055-3177	10.2307/3392072	64281	\N	\N	\N	\N	\N	\N
1001052-2	1.1.2.1.1.1	Moraceae		N	Sorocea		N	pubivena	olighotricha	subsp.	(Akkermans & C.C.Berg) C.C.Berg	(Akkermans & C.C.Berg)	C.C.Berg	Sorocea pubivena subsp. olighotricha	Novon	6: 243	1996					Moraceae Sorocea hirtella Mildbr. subsp. oligotricha Akkermans & C.C.Berg		unknown	1055-3177	10.2307/3392086	63773	\N	\N	\N	\N	\N	\N
1001363-1	1.1.2.1.1.3	Lamiaceae		N	Obtegomeria		N			gen.	Doroszenko & P.D.Cantino		Doroszenko & P.D.Cantino	Obtegomeria	Novon	8(1): 2	1998							tax. nov.	1055-3177	10.2307/3391880	63870	\N	\N	\N	\N	\N	\N
1001364-1	1.1.2.1.1.4	Lamiaceae		N	Obtegomeria		N	caerulescens		spec.	(Benth.) Doroszenko & P.D.Cantino	(Benth.)	Doroszenko & P.D.Cantino	Obtegomeria caerulescens	Novon	8(1): 2	1998			Lamiaceae Hedeoma nana (Torr.) Briq.				comb. nov.	1055-3177	10.2307/3391880	63870	\N	\N	\N	\N	\N	\N
1001365-1	1.1.2.1.1.4	Asteraceae		N	Dubautia		N	syndetica		spec.	G.D.Carr & Lorence		G.D.Carr & Lorence	Dubautia syndetica	Novon	8(1): 4	1998						Hawaiian Is.	tax. nov.	1055-3177	10.2307/3391881	63885	\N	\N	\N	\N	\N	\N
1001366-1	1.1.2.1.1.3	Asteraceae		N	Dubautia		N	kenwoodii		spec.	G.D.Carr		G.D.Carr	Dubautia kenwoodii	Novon	8(1): 8	1998						Hawaiian Is.	tax. nov.	1055-3177	10.2307/3391882	64436	\N	\N	\N	\N	\N	\N
1001367-1	1.1.2.2.1.3	Zamiaceae		N	Zamia		N	gentryi		spec.	Dodson		Dodson	Zamia gentryi	Novon	8(1): 12	1998						Ecuador.	tax. nov.	1055-3177	10.2307/3391883	63944	\N	\N	\N	\N	\N	\N
1001368-1	1.1.2.1.1.3	Urticaceae		N	Urtica		N	peruviana		spec.	Geltman		Geltman	Urtica peruviana	Novon	8(1): 15	1998						Peru.	tax. nov.	1055-3177	10.2307/3391884	64038	\N	\N	\N	\N	\N	\N
1001369-1	1.1.2.1.1.3	Urticaceae		N	Urtica		N	pseudomagellanica		spec.	Geltman		Geltman	Urtica pseudomagellanica	Novon	8(1): 16	1998						Bolivia.	tax. nov.	1055-3177	10.2307/3391884	64038	\N	\N	\N	\N	\N	\N
1001370-1	1.1.2.1.1.3	Urticaceae		N	Urtica		N	lilloi		spec.	(Hauman) Geltman	(Hauman)	Geltman	Urtica lilloi	Novon	8(1): 17	1998			Urticaceae Urtica magellanica Juss. ex Poir. subsp. lilloi				comb. nov.	1055-3177	10.2307/3391884	64038	\N	\N	\N	\N	\N	\N
