"Id","Full_name_without_family_and_authors","Authors","Publication","Collation","Publication_year_full","issn","doi","biostor","bhl","jstor","cinii","url","pdf","handle"
"11621-1","Arceuthos","Antoine & Kotschy","Oesterr. Bot. Wochenbl.","4: 249","1854","1029-0729","","","","","","","",""
"118898-1","Myosotis amoena","Schott & Kotschy","Oesterr. Bot. Wochenbl.","7: 206","1857","1029-0729","","","","","","","",""
"141324-1","Campanula welandii","Heuff.","Oesterr. Bot. Wochenbl.","7: 118","1857","1029-0729","","","","","","","",""
"163933-2","Monstera klotzschiana","Schott","Oesterr. Bot. Wochenbl.","4: 419","1854","1029-0729","","","","","","","",""
"173828-1","Achillea aspleniifolia","Leresch ex Sch.Bip.","Oesterr. Bot. Wochenbl.","6: 301","1856","1029-0729","","","","","","","",""
"173890-1","Achillea claudiopolina","Janka","Oesterr. Bot. Wochenbl.","4: 403","1854","1029-0729","","","","","","","",""
"174060-1","Achillea laggeri","Sch.Bip.","Oesterr. Bot. Wochenbl.","6: 300","1856","1029-0729","","","","","","","",""
"174072-1","Achillea lereschei","Sch.Bip.","Oesterr. Bot. Wochenbl.","6: 301","1856","1029-0729","","","","","","","",""
"174249-1","Achillea schurii","Sch.Bip.","Oesterr. Bot. Wochenbl.","6: 300","1856","1029-0729","","","","","","","",""
"177356-1","Anthemis haynaldii","Janka","Oesterr. Bot. Wochenbl.","6: 1","1856","1029-0729","","","","","","","",""
"177467-1","Anthemis multicaulis","Janka","Oesterr. Bot. Wochenbl.","6: 363","1856","1029-0729","","","","","","","",""
"177547-1","Anthemis pyrenaica","Sch.Bip.","Oesterr. Bot. Wochenbl.","4: 164","1854","1029-0729","","","","","","","",""
"195087-1","Cirsium boujarti","Sch.Bip.","Oesterr. Bot. Wochenbl.","6: 299","1856","1029-0729","","","","","","","",""
"198376-1","Cota austriaca","Sch.Bip.","Oesterr. Bot. Wochenbl.","4: 155","1854","1029-0729","","","","","","","",""
"198406-1","Cota thirkei","Sch.Bip.","Oesterr. Bot. Wochenbl.","4: 163","1854","1029-0729","","","","","","","",""
"202045-1","Doronicum cordatum","Sch.Bip.","Oesterr. Bot. Wochenbl.","4: 411","1854","1029-0729","","","","","","","",""
"204247-1","Erigeron olympicus","Schott & Kotschy","Oesterr. Bot. Wochenbl.","7: 230","1857","1029-0729","","","","","","","",""
"20774-1","Coridothymus","Rchb.f.","Oesterr. Bot. Wochenbl.","7: 160","1857","1029-0729","","","","","","","",""
"21035-1","Micronema","Schott","Oesterr. Bot. Wochenbl.","7: 95","1857","1029-0729","","","","","","","",""
"21258-1","Tendana","Rchb.f.","Oesterr. Bot. Wochenbl.","7: 160","1857","1029-0729","","","","","","","",""
"221496-1","Hieracium pollichiae","Sch.Bip. & G.Koch","Oesterr. Bot. Wochenbl.","3: 247","1853","1029-0729","","","","","","","",""
"221519-1","Hieracium polycladum","Juratz.","Oesterr. Bot. Wochenbl.","7: 63","1857","1029-0729","","","","","","","",""
"223155-1","Hieracium sphaerophyllum","Vuk.","Oesterr. Bot. Wochenbl.","4: 102","1854","1029-0729","","","","","","","",""
"24172-1","Czekelia","Schur","Oesterr. Bot. Wochenbl.","6: 237","1856","1029-0729","","","","","","","",""
"24368-1","Hyacinthella","Schur","Oesterr. Bot. Wochenbl.","6: 227","1856","1029-0729","","","","","","","",""
"256017-1","Tragopogon grandiflorus","Saut.","Oesterr. Bot. Wochenbl.","6: 107","1856","1029-0729","","","","","","","",""
"261708-1","Arceuthos drupacea","Ant. & Kotschy","Oesterr. Bot. Wochenbl.","4: 249","1854","1029-0729","","","","","","","",""
"262859-1","Pinus cilicica","Antoine & Kotschy","Oesterr. Bot. Wochenbl.","3: 409","1853","1029-0729","","","","","","","",""
"2691-1","Anchomanes","Schott","Oesterr. Bot. Wochenbl.","3: 314","1853","1029-0729","","","","","","","",""
"2697-1","Anubias","Schott","Oesterr. Bot. Wochenbl.","7: 398","1857","1029-0729","","","","","","","",""
