Id	Full_name_without_family_and_authors	Authors	Publication	Collation	Publication_year_full	issn	doi	biostor	bhl	jstor	cinii	url	pdf	handle
1060338-2	Physalis sect. Carpentarianae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 175	1951	0003-049X				3143331				
1060523-2	Physalis sect. Pubescentes	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 148	1951	0003-049X				3143331				
1067899-2	Physalis sect. Angulatae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 150	1951	0003-049X				3143331				
1113703-2	Physalis sect. Philadelphicae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 154	1951	0003-049X				3143331				
1118250-2	Physalis sect. Viscosae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 167	1951	0003-049X				3143331				
1149410-2	Physalis sect. Lanceolatae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 161	1951	0003-049X				3143331				
1149411-2	Physalis sect. Heterophyllae	(Rydb.) M.Y.Menzel	Proc. Amer. Philos. Soc.	95: 164	1951	0003-049X				3143331				
12556-2	Anderssoniopiper panamense	Trel.	Proc. Amer. Philos. Soc.	73: 329, tab. b	1934	0003-049X				984623				
130185-2	Irlbachia nemorosa	(Willd. ex Roem. & Schult.) Merr.	Proc. Amer. Philos. Soc.	86: 88	1942	0003-049X				985080				
140500-2	Lindeniopiper lindenii	Trel.	Proc. Amer. Philos. Soc.	68: 53	1929	0003-049X				984398				
170249-2	Nolina affinis	Trel.	Proc. Amer. Philos. Soc.	50: 417	1911	0003-049X				983932				
170254-2	Nolina beldingii var. deserticola	Trel.	Proc. Amer. Philos. Soc.	50: 424	1911	0003-049X				983932				
170260-2	Nolina caudata	Trel.	Proc. Amer. Philos. Soc.	50: 417	1911	0003-049X				983932				
170261-2	Nolina cespitifera	Trel.	Proc. Amer. Philos. Soc.	50: 419	1911	0003-049X				983932				
170262-2	Nolina durangensis	Trel.	Proc. Amer. Philos. Soc.	50: 421	1911	0003-049X				983932				
170264-2	Nolina erumpens var. compacta	Trel.	Proc. Amer. Philos. Soc.	50: 418	1911	0003-049X				983932				
170273-2	Nolina palmeri var. brandegeei	Trel.	Proc. Amer. Philos. Soc.	50: 420	1911	0003-049X				983932				
170278-2	Nolina rigida	Trel.	Proc. Amer. Philos. Soc.	50: 422, pl. 17	1911	0003-049X				983932				
177397-2	Ottonia aguadana	Trel.	Proc. Amer. Philos. Soc.	75: 696	1935	0003-049X				984590				
177398-2	Ottonia albopunctata	Trel.	Proc. Amer. Philos. Soc.	75: 696	1935	0003-049X				984590				
177400-2	Ottonia apodostachya	Trel.	Proc. Amer. Philos. Soc.	75: 697	1935	0003-049X				984590				
177401-2	Ottonia apodostachya var. vidalii	Trel.	Proc. Amer. Philos. Soc.	75: 697	1935	0003-049X				984590				
177402-2	Ottonia armondi	Trel.	Proc. Amer. Philos. Soc.	75: 697	1935	0003-049X				984590				
177403-2	Ottonia atrosanguinea	Trel.	Proc. Amer. Philos. Soc.	75: 698	1935	0003-049X				984590				
177404-2	Ottonia baptisiana	Trel.	Proc. Amer. Philos. Soc.	75: 698	1935	0003-049X				984590				
177406-2	Ottonia brevistipitata	Moric.	Proc. Amer. Philos. Soc.	75: 698	1935	0003-049X				984590				
177407-2	Ottonia burchellii	Moric.	Proc. Amer. Philos. Soc.	75: 699	1935	0003-049X				984590				
177409-2	Ottonia claussenii	Trel.	Proc. Amer. Philos. Soc.	75: 699	1935	0003-049X				984590				
177410-2	Ottonia colliculorum	Trel.	Proc. Amer. Philos. Soc.	75: 699	1935	0003-049X				984590				
177411-2	Ottonia corcovadensis var. blanchetii	Trel.	Proc. Amer. Philos. Soc.	75: 700	1935	0003-049X				984590				
